RESOURCE,count,mean,std,normality_p_value,Normality,kruskal_p_value,KRUSKAL,LC_p_value,LCresult
STEP_003/EQP_137_3,888.0,7.637387387387387,1.5760462921979081,0.0,False,9.038312184051854e-51,False,1.0,DUMMY
STEP_003/EQP_137_4,195.0,8.405128205128205,1.337397981068979,0.0,False,9.038312184051854e-51,False,4.5852001137794585e-12,BOB
STEP_003/EQP_140_2,418.0,7.562200956937799,1.356114826387943,0.0,False,9.038312184051854e-51,False,0.0009478126500591321,WOW
STEP_003/EQP_140_3,538.0,8.08736059479554,1.598937060824426,0.0,False,9.038312184051854e-51,False,1.1012320337623779e-10,BOB
STEP_003/EQP_140_4,674.0,8.00593471810089,1.40577045820798,0.0,False,9.038312184051854e-51,False,4.966898075283387e-08,BOB
STEP_003/EQP_143_2,1089.0,7.925619834710743,1.890615175378356,0.0,False,9.038312184051854e-51,False,2.502388376025198e-10,BOB
STEP_003/EQP_143_3,853.0,7.695193434935522,1.4318437066706837,0.0,False,9.038312184051854e-51,False,1.0,DUMMY
STEP_003/EQP_143_4,767.0,7.5215123859191655,1.665733220356706,0.0,False,9.038312184051854e-51,False,7.763094057600442e-07,WOW
STEP_003/EQP_145_2,1085.0,7.91889400921659,2.335918530433374,0.0,False,9.038312184051854e-51,False,1.3889184868214593e-12,BOB
STEP_003/EQP_145_3,506.0,7.673913043478261,2.0801730945559975,0.0,False,9.038312184051854e-51,False,1.0,DUMMY
STEP_003/EQP_145_4,739.0,7.688768606224627,2.0536228742880223,0.0,False,9.038312184051854e-51,False,1.0,DUMMY
STEP_004/EQP_295_A,79.0,7.3924050632911396,1.244657521827069,0.0,False,4.372264174588628e-26,False,0.010438099289130585,WOW
STEP_004/EQP_295_B,87.0,7.517241379310345,2.1720318906686886,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_295_C,87.0,7.528735632183908,0.9503864631280159,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_296_A,113.0,7.831858407079646,1.8414990732865701,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_296_B,108.0,8.046296296296296,1.2558964423888,0.0,False,4.372264174588628e-26,False,0.004609106650602045,BOB
STEP_004/EQP_296_C,112.0,7.392857142857143,3.4805952241740368,0.0,False,4.372264174588628e-26,False,0.3307456687382132,DUMMY
STEP_004/EQP_297_A,136.0,8.183823529411764,1.3399956101771806,0.0,False,4.372264174588628e-26,False,6.786652922966959e-05,BOB
STEP_004/EQP_297_B,133.0,7.917293233082707,1.6653560579427418,0.0,False,4.372264174588628e-26,False,0.02811250258860792,BOB
STEP_004/EQP_297_C,141.0,7.836879432624113,1.722224945798633,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_298_A,382.0,7.5732984293193715,2.1330099270810727,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_298_B,414.0,7.456521739130435,2.7821279291751195,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_298_C,415.0,7.544578313253012,2.391068981120247,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_299_A,537.0,7.5027932960893855,1.555110622628399,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
STEP_004/EQP_299_B,563.0,7.61101243339254,2.0185138303898316,0.0,False,4.372264174588628e-26,False,1.0,DUMMY
